date,precipitation_probability_max,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_hours,precipitation_sum,type,temperature_2m,precipitation_probability,precipitation,cloud_cover,wind_speed_10m,wind_direction_10m,is_day,apparent_temperature
2025-04-15 00:00:00,0.0,26.9,12.5,26.1,12.7,0.0,0.0,daily,,,,,,,,
2025-04-16 00:00:00,3.0,27.0,15.6,25.6,15.3,0.0,0.0,daily,,,,,,,,
2025-04-17 00:00:00,0.0,29.7,14.4,29.3,13.9,0.0,0.0,daily,,,,,,,,
2025-04-18 00:00:00,3.0,30.3,17.3,27.9,18.4,0.0,0.0,daily,,,,,,,,
2025-04-19 00:00:00,10.0,29.7,16.9,25.7,17.3,1.0,0.1,daily,,,,,,,,
2025-04-20 00:00:00,43.0,24.7,16.6,23.1,14.9,3.0,1.1,daily,,,,,,,,
2025-04-21 00:00:00,53.0,19.8,13.9,18.3,13.7,7.0,0.9,daily,,,,,,,,
2025-04-22 00:00:00,48.0,18.4,13.9,17.6,12.8,5.0,0.7,daily,,,,,,,,
2025-04-23 00:00:00,0.0,21.8,13.6,21.7,13.8,0.0,0.0,daily,,,,,,,,
2025-04-24 00:00:00,0.0,25.4,14.1,24.0,14.3,0.0,0.0,daily,,,,,,,,
2025-04-25 00:00:00,66.0,21.2,15.9,20.5,15.6,11.0,7.3,daily,,,,,,,,
2025-04-26 00:00:00,67.0,18.7,13.2,17.9,12.2,3.0,0.3,daily,,,,,,,,
2025-04-27 00:00:00,12.0,18.1,10.0,16.5,8.8,1.0,0.1,daily,,,,,,,,
2025-04-28 00:00:00,8.0,17.8,11.1,16.5,10.7,9.0,0.9,daily,,,,,,,,
2025-04-29 00:00:00,12.0,15.1,10.6,13.0,8.8,5.0,0.5,daily,,,,,,,,
2025-04-30 00:00:00,13.0,14.2,12.8,13.1,9.8,3.0,0.6,daily,,,,,,,,
2025-05-01 00:00:00,3.0,16.1,12.6,13.5,9.7,0.0,0.0,daily,,,,,,,,
2025-05-02 00:00:00,11.0,19.9,10.2,16.4,8.7,0.0,0.0,daily,,,,,,,,
2025-05-03 00:00:00,3.0,22.2,11.5,17.2,7.7,0.0,0.0,daily,,,,,,,,
2025-05-04 00:00:00,14.0,20.1,11.6,16.1,7.9,3.0,0.3,daily,,,,,,,,
2025-05-05 00:00:00,16.0,16.3,11.0,13.0,7.7,0.0,0.0,daily,,,,,,,,
2025-05-06 00:00:00,11.0,17.9,9.5,13.9,6.6,0.0,0.0,daily,,,,,,,,
2025-05-07 00:00:00,10.0,15.7,10.6,9.7,5.9,3.0,0.3,daily,,,,,,,,
2025-04-15 00:00:00,,,,,,,,hourly,15.4,0.0,0.0,4.0,3.3,186.3,0.0,16.1
2025-04-15 01:00:00,,,,,,,,hourly,15.0,0.0,0.0,0.0,2.3,198.4,0.0,15.8
2025-04-15 02:00:00,,,,,,,,hourly,14.6,0.0,0.0,0.0,1.1,251.6,0.0,15.5
2025-04-15 03:00:00,,,,,,,,hourly,14.1,0.0,0.0,12.0,2.3,308.7,0.0,14.7
2025-04-15 04:00:00,,,,,,,,hourly,12.5,0.0,0.0,87.0,3.2,333.4,0.0,12.7
2025-04-15 05:00:00,,,,,,,,hourly,12.7,0.0,0.0,96.0,3.0,346.0,0.0,13.0
2025-04-15 06:00:00,,,,,,,,hourly,13.0,0.0,0.0,79.0,2.5,351.9,0.0,13.5
2025-04-15 07:00:00,,,,,,,,hourly,13.5,0.0,0.0,86.0,2.9,360.0,1.0,13.9
2025-04-15 08:00:00,,,,,,,,hourly,14.6,0.0,0.0,100.0,3.3,6.3,1.0,15.0
2025-04-15 09:00:00,,,,,,,,hourly,15.7,0.0,0.0,100.0,4.9,17.1,1.0,15.8
2025-04-15 10:00:00,,,,,,,,hourly,17.2,0.0,0.0,100.0,3.9,56.3,1.0,17.7
2025-04-15 11:00:00,,,,,,,,hourly,19.5,0.0,0.0,87.0,5.4,97.6,1.0,19.8
2025-04-15 12:00:00,,,,,,,,hourly,21.9,0.0,0.0,100.0,6.5,96.3,1.0,22.5
2025-04-15 13:00:00,,,,,,,,hourly,24.1,0.0,0.0,100.0,7.0,111.3,1.0,24.6
2025-04-15 14:00:00,,,,,,,,hourly,25.6,0.0,0.0,91.0,8.0,125.8,1.0,25.7
2025-04-15 15:00:00,,,,,,,,hourly,26.2,0.0,0.0,0.0,9.9,133.5,1.0,25.7
2025-04-15 16:00:00,,,,,,,,hourly,26.9,0.0,0.0,0.0,8.7,138.4,1.0,26.1
2025-04-15 17:00:00,,,,,,,,hourly,26.1,0.0,0.0,0.0,8.0,144.2,1.0,25.8
2025-04-15 18:00:00,,,,,,,,hourly,24.3,0.0,0.0,1.0,7.6,148.6,0.0,24.6
2025-04-15 19:00:00,,,,,,,,hourly,22.6,0.0,0.0,45.0,7.7,131.2,0.0,22.8
2025-04-15 20:00:00,,,,,,,,hourly,21.4,0.0,0.0,36.0,2.7,113.2,0.0,22.3
2025-04-15 21:00:00,,,,,,,,hourly,21.0,0.0,0.0,15.0,2.3,308.7,0.0,22.0
2025-04-15 22:00:00,,,,,,,,hourly,18.4,0.0,0.0,100.0,3.4,288.4,0.0,19.3
2025-04-15 23:00:00,,,,,,,,hourly,17.2,0.0,0.0,100.0,2.5,315.0,0.0,18.3
2025-04-16 00:00:00,,,,,,,,hourly,16.5,0.0,0.0,100.0,2.4,333.4,0.0,17.5
2025-04-16 01:00:00,,,,,,,,hourly,16.1,0.0,0.0,100.0,2.5,8.1,0.0,17.0
2025-04-16 02:00:00,,,,,,,,hourly,15.7,0.0,0.0,44.0,2.7,23.2,0.0,16.5
2025-04-16 03:00:00,,,,,,,,hourly,15.6,0.0,0.0,100.0,3.3,40.6,0.0,16.1
2025-04-16 04:00:00,,,,,,,,hourly,17.1,0.0,0.0,100.0,3.8,41.2,0.0,17.2
2025-04-16 05:00:00,,,,,,,,hourly,17.1,0.0,0.0,91.0,5.0,30.3,0.0,16.8
2025-04-16 06:00:00,,,,,,,,hourly,17.7,0.0,0.0,14.0,8.4,20.0,0.0,16.5
2025-04-16 07:00:00,,,,,,,,hourly,17.1,0.0,0.0,18.0,10.1,16.5,1.0,15.3
2025-04-16 08:00:00,,,,,,,,hourly,17.8,0.0,0.0,51.0,11.4,18.4,1.0,15.6
2025-04-16 09:00:00,,,,,,,,hourly,19.6,0.0,0.0,84.0,13.3,12.5,1.0,17.0
2025-04-16 10:00:00,,,,,,,,hourly,21.3,0.0,0.0,78.0,17.3,3.6,1.0,18.2
2025-04-16 11:00:00,,,,,,,,hourly,22.8,0.0,0.0,82.0,16.3,5.1,1.0,19.8
2025-04-16 12:00:00,,,,,,,,hourly,23.7,0.0,0.0,92.0,15.5,360.0,1.0,20.9
2025-04-16 13:00:00,,,,,,,,hourly,24.1,3.0,0.0,97.0,13.0,1.6,1.0,21.6
2025-04-16 14:00:00,,,,,,,,hourly,24.8,0.0,0.0,76.0,9.4,17.7,1.0,22.9
2025-04-16 15:00:00,,,,,,,,hourly,25.4,3.0,0.0,81.0,7.4,29.1,1.0,23.9
2025-04-16 16:00:00,,,,,,,,hourly,27.0,0.0,0.0,62.0,6.9,51.3,1.0,25.6
2025-04-16 17:00:00,,,,,,,,hourly,26.6,0.0,0.0,78.0,7.1,75.3,1.0,25.3
2025-04-16 18:00:00,,,,,,,,hourly,25.5,3.0,0.0,39.0,2.9,82.9,0.0,25.1
2025-04-16 19:00:00,,,,,,,,hourly,24.1,0.0,0.0,29.0,2.3,108.4,0.0,24.1
2025-04-16 20:00:00,,,,,,,,hourly,22.3,0.0,0.0,3.0,2.9,90.0,0.0,22.4
2025-04-16 21:00:00,,,,,,,,hourly,21.5,0.0,0.0,0.0,2.1,31.0,0.0,21.8
2025-04-16 22:00:00,,,,,,,,hourly,21.2,0.0,0.0,0.0,3.0,14.0,0.0,21.0
2025-04-16 23:00:00,,,,,,,,hourly,19.2,0.0,0.0,0.0,3.6,360.0,0.0,19.1
2025-04-17 00:00:00,,,,,,,,hourly,17.7,0.0,0.0,0.0,3.6,5.7,0.0,17.6
2025-04-17 01:00:00,,,,,,,,hourly,16.7,0.0,0.0,0.0,3.6,5.7,0.0,16.5
2025-04-17 02:00:00,,,,,,,,hourly,16.2,0.0,0.0,0.0,3.7,11.3,0.0,15.9
2025-04-17 03:00:00,,,,,,,,hourly,15.7,0.0,0.0,0.0,3.5,24.0,0.0,15.4
2025-04-17 04:00:00,,,,,,,,hourly,16.1,0.0,0.0,0.0,3.5,24.0,0.0,15.5
2025-04-17 05:00:00,,,,,,,,hourly,15.5,0.0,0.0,0.0,3.5,24.0,0.0,14.9
2025-04-17 06:00:00,,,,,,,,hourly,14.9,0.0,0.0,0.0,3.2,26.6,0.0,14.4
2025-04-17 07:00:00,,,,,,,,hourly,14.4,0.0,0.0,0.0,3.7,11.3,1.0,13.9
2025-04-17 08:00:00,,,,,,,,hourly,15.1,0.0,0.0,0.0,3.6,5.7,1.0,14.6
2025-04-17 09:00:00,,,,,,,,hourly,18.7,0.0,0.0,0.0,3.5,24.0,1.0,18.2
2025-04-17 10:00:00,,,,,,,,hourly,22.2,0.0,0.0,31.0,3.6,36.9,1.0,21.8
2025-04-17 11:00:00,,,,,,,,hourly,25.1,0.0,0.0,0.0,4.0,63.4,1.0,24.6
2025-04-17 12:00:00,,,,,,,,hourly,27.5,0.0,0.0,0.0,4.4,80.5,1.0,27.5
2025-04-17 13:00:00,,,,,,,,hourly,29.1,0.0,0.0,0.0,4.8,103.0,1.0,29.2
2025-04-17 14:00:00,,,,,,,,hourly,29.7,0.0,0.0,0.0,5.9,137.5,1.0,29.3
2025-04-17 15:00:00,,,,,,,,hourly,29.3,0.0,0.0,0.0,7.4,150.9,1.0,28.2
2025-04-17 16:00:00,,,,,,,,hourly,29.3,0.0,0.0,0.0,7.4,133.0,1.0,28.0
2025-04-17 17:00:00,,,,,,,,hourly,28.1,0.0,0.0,2.0,6.6,139.4,1.0,27.4
2025-04-17 18:00:00,,,,,,,,hourly,26.1,0.0,0.0,30.0,5.0,149.7,0.0,26.0
2025-04-17 19:00:00,,,,,,,,hourly,24.5,0.0,0.0,98.0,4.1,127.9,0.0,24.6
2025-04-17 20:00:00,,,,,,,,hourly,23.9,0.0,0.0,63.0,4.0,90.0,0.0,23.8
2025-04-17 21:00:00,,,,,,,,hourly,23.3,0.0,0.0,6.0,4.8,48.0,0.0,22.9
2025-04-17 22:00:00,,,,,,,,hourly,22.2,0.0,0.0,51.0,4.2,20.0,0.0,22.2
2025-04-17 23:00:00,,,,,,,,hourly,21.2,0.0,0.0,100.0,4.9,17.1,0.0,20.9
2025-04-18 00:00:00,,,,,,,,hourly,20.8,0.0,0.0,100.0,3.8,16.7,0.0,20.6
2025-04-18 01:00:00,,,,,,,,hourly,20.7,0.0,0.0,100.0,2.5,81.9,0.0,20.7
2025-04-18 02:00:00,,,,,,,,hourly,20.1,0.0,0.0,100.0,3.7,78.7,0.0,20.1
2025-04-18 03:00:00,,,,,,,,hourly,19.6,0.0,0.0,96.0,4.8,48.0,0.0,19.2
2025-04-18 04:00:00,,,,,,,,hourly,18.6,0.0,0.0,96.0,4.6,45.0,0.0,18.5
2025-04-18 05:00:00,,,,,,,,hourly,18.9,0.0,0.0,100.0,5.7,34.7,0.0,18.4
2025-04-18 06:00:00,,,,,,,,hourly,19.5,3.0,0.0,69.0,7.3,32.9,0.0,18.6
2025-04-18 07:00:00,,,,,,,,hourly,20.2,3.0,0.0,77.0,8.7,24.4,1.0,19.0
2025-04-18 08:00:00,,,,,,,,hourly,20.8,0.0,0.0,72.0,8.7,24.4,1.0,19.6
2025-04-18 09:00:00,,,,,,,,hourly,22.4,0.0,0.0,73.0,10.3,29.2,1.0,20.9
2025-04-18 10:00:00,,,,,,,,hourly,24.3,0.0,0.0,84.0,15.7,10.5,1.0,22.2
2025-04-18 11:00:00,,,,,,,,hourly,26.2,0.0,0.0,88.0,16.2,357.5,1.0,24.0
2025-04-18 12:00:00,,,,,,,,hourly,28.0,0.0,0.0,84.0,17.7,343.4,1.0,25.3
2025-04-18 13:00:00,,,,,,,,hourly,29.0,0.0,0.0,82.0,19.7,338.6,1.0,25.8
2025-04-18 14:00:00,,,,,,,,hourly,29.4,0.0,0.0,74.0,21.1,336.9,1.0,25.9
2025-04-18 15:00:00,,,,,,,,hourly,29.5,0.0,0.0,75.0,20.2,338.0,1.0,26.2
2025-04-18 16:00:00,,,,,,,,hourly,30.3,0.0,0.0,48.0,18.1,319.0,1.0,26.8
2025-04-18 17:00:00,,,,,,,,hourly,30.0,0.0,0.0,52.0,8.6,284.6,1.0,27.9
2025-04-18 18:00:00,,,,,,,,hourly,19.4,0.0,0.0,90.0,20.4,194.3,0.0,18.9
2025-04-18 19:00:00,,,,,,,,hourly,18.2,0.0,0.0,88.0,11.6,158.2,0.0,18.6
2025-04-18 20:00:00,,,,,,,,hourly,17.7,0.0,0.0,97.0,8.6,157.8,0.0,18.4
2025-04-18 21:00:00,,,,,,,,hourly,17.5,0.0,0.0,89.0,5.6,140.2,0.0,18.6
2025-04-18 22:00:00,,,,,,,,hourly,17.4,0.0,0.0,97.0,3.7,150.9,0.0,18.5
2025-04-18 23:00:00,,,,,,,,hourly,17.3,3.0,0.0,100.0,2.3,108.4,0.0,18.6
2025-04-19 00:00:00,,,,,,,,hourly,17.3,3.0,0.0,100.0,2.4,63.4,0.0,18.6
2025-04-19 01:00:00,,,,,,,,hourly,17.3,3.0,0.0,100.0,3.1,69.4,0.0,18.5
2025-04-19 02:00:00,,,,,,,,hourly,17.1,0.0,0.0,100.0,2.7,66.8,0.0,18.4
2025-04-19 03:00:00,,,,,,,,hourly,16.9,0.0,0.0,100.0,3.1,69.4,0.0,18.1
2025-04-19 04:00:00,,,,,,,,hourly,17.9,0.0,0.0,100.0,3.6,45.0,0.0,18.4
2025-04-19 05:00:00,,,,,,,,hourly,18.4,0.0,0.0,100.0,3.1,45.0,0.0,18.4
2025-04-19 06:00:00,,,,,,,,hourly,19.1,0.0,0.0,100.0,5.0,30.3,0.0,17.7
2025-04-19 07:00:00,,,,,,,,hourly,19.4,0.0,0.0,100.0,7.6,19.3,1.0,17.3
2025-04-19 08:00:00,,,,,,,,hourly,20.3,0.0,0.0,100.0,10.7,11.7,1.0,17.7
2025-04-19 09:00:00,,,,,,,,hourly,21.7,0.0,0.0,100.0,14.6,9.9,1.0,18.7
2025-04-19 10:00:00,,,,,,,,hourly,24.2,0.0,0.0,100.0,15.6,7.9,1.0,21.0
2025-04-19 11:00:00,,,,,,,,hourly,25.8,0.0,0.0,81.0,19.1,4.3,1.0,22.0
2025-04-19 12:00:00,,,,,,,,hourly,26.7,0.0,0.0,100.0,18.9,7.7,1.0,22.9
2025-04-19 13:00:00,,,,,,,,hourly,27.8,0.0,0.0,64.0,16.8,9.9,1.0,24.2
2025-04-19 14:00:00,,,,,,,,hourly,29.0,0.0,0.0,76.0,16.6,3.7,1.0,25.4
2025-04-19 15:00:00,,,,,,,,hourly,29.7,0.0,0.0,82.0,18.4,357.8,1.0,25.7
2025-04-19 16:00:00,,,,,,,,hourly,28.6,0.0,0.0,100.0,16.6,5.0,1.0,24.7
2025-04-19 17:00:00,,,,,,,,hourly,27.7,0.0,0.0,100.0,12.8,16.4,1.0,24.5
2025-04-19 18:00:00,,,,,,,,hourly,26.5,0.0,0.0,100.0,9.5,29.5,0.0,23.8
2025-04-19 19:00:00,,,,,,,,hourly,25.2,3.0,0.0,100.0,4.7,327.5,0.0,23.3
2025-04-19 20:00:00,,,,,,,,hourly,23.8,5.0,0.0,100.0,3.9,213.7,0.0,22.6
2025-04-19 21:00:00,,,,,,,,hourly,22.3,8.0,0.0,100.0,3.1,110.6,0.0,22.1
2025-04-19 22:00:00,,,,,,,,hourly,22.0,10.0,0.1,100.0,6.6,67.6,0.0,21.2
2025-04-19 23:00:00,,,,,,,,hourly,22.2,3.0,0.0,78.0,7.4,43.0,0.0,20.6
2025-04-20 00:00:00,,,,,,,,hourly,21.8,5.0,0.0,77.0,10.1,16.5,0.0,20.1
2025-04-20 01:00:00,,,,,,,,hourly,21.8,5.0,0.0,99.0,11.2,14.9,0.0,20.2
2025-04-20 02:00:00,,,,,,,,hourly,21.5,5.0,0.0,100.0,9.9,19.1,0.0,20.3
2025-04-20 03:00:00,,,,,,,,hourly,21.1,3.0,0.0,100.0,8.9,31.8,0.0,20.0
2025-04-20 04:00:00,,,,,,,,hourly,20.8,13.0,0.0,86.0,6.5,19.4,0.0,19.8
2025-04-20 05:00:00,,,,,,,,hourly,20.4,13.0,0.0,82.0,6.1,28.1,0.0,18.8
2025-04-20 06:00:00,,,,,,,,hourly,19.6,13.0,0.0,78.0,6.3,31.0,0.0,18.0
2025-04-20 07:00:00,,,,,,,,hourly,19.2,10.0,0.0,80.0,5.8,21.8,1.0,17.8
2025-04-20 08:00:00,,,,,,,,hourly,19.4,13.0,0.0,71.0,4.4,325.0,1.0,18.2
2025-04-20 09:00:00,,,,,,,,hourly,20.5,10.0,0.0,59.0,5.1,320.7,1.0,19.7
2025-04-20 10:00:00,,,,,,,,hourly,21.3,20.0,0.0,63.0,9.0,2.3,1.0,19.7
2025-04-20 11:00:00,,,,,,,,hourly,22.9,8.0,0.0,61.0,12.6,355.1,1.0,20.7
2025-04-20 12:00:00,,,,,,,,hourly,23.6,8.0,0.0,57.0,12.0,8.6,1.0,21.7
2025-04-20 13:00:00,,,,,,,,hourly,24.7,13.0,0.0,86.0,13.0,360.0,1.0,22.9
2025-04-20 14:00:00,,,,,,,,hourly,23.7,13.0,0.8,97.0,8.0,352.2,1.0,23.1
2025-04-20 15:00:00,,,,,,,,hourly,23.4,43.0,0.1,95.0,8.7,330.3,1.0,22.3
2025-04-20 16:00:00,,,,,,,,hourly,23.6,33.0,0.2,47.0,18.3,338.0,1.0,20.2
2025-04-20 17:00:00,,,,,,,,hourly,22.1,18.0,0.0,55.0,16.6,332.9,1.0,18.9
2025-04-20 18:00:00,,,,,,,,hourly,20.8,10.0,0.0,21.0,11.6,338.2,0.0,18.2
2025-04-20 19:00:00,,,,,,,,hourly,19.5,5.0,0.0,32.0,8.3,2.5,0.0,17.4
2025-04-20 20:00:00,,,,,,,,hourly,18.3,0.0,0.0,29.0,9.1,18.4,0.0,16.3
2025-04-20 21:00:00,,,,,,,,hourly,17.5,0.0,0.0,9.0,9.4,22.6,0.0,15.5
2025-04-20 22:00:00,,,,,,,,hourly,17.0,0.0,0.0,20.0,7.3,11.3,0.0,15.1
2025-04-20 23:00:00,,,,,,,,hourly,16.6,0.0,0.0,62.0,5.4,19.7,0.0,14.9
2025-04-21 00:00:00,,,,,,,,hourly,15.9,0.0,0.0,77.0,4.6,38.7,0.0,14.5
2025-04-21 01:00:00,,,,,,,,hourly,15.6,0.0,0.0,77.0,4.7,32.5,0.0,14.3
2025-04-21 02:00:00,,,,,,,,hourly,15.4,3.0,0.0,100.0,4.6,45.0,0.0,14.2
2025-04-21 03:00:00,,,,,,,,hourly,15.4,5.0,0.0,82.0,5.4,53.1,0.0,14.3
2025-04-21 04:00:00,,,,,,,,hourly,14.7,8.0,0.0,93.0,5.2,15.9,0.0,13.8
2025-04-21 05:00:00,,,,,,,,hourly,14.5,0.0,0.0,82.0,4.3,4.8,0.0,13.9
2025-04-21 06:00:00,,,,,,,,hourly,14.2,0.0,0.0,88.0,2.6,303.7,0.0,14.0
2025-04-21 07:00:00,,,,,,,,hourly,13.9,3.0,0.0,86.0,2.9,270.0,1.0,13.7
2025-04-21 08:00:00,,,,,,,,hourly,14.4,0.0,0.0,14.0,3.4,288.4,1.0,14.1
2025-04-21 09:00:00,,,,,,,,hourly,16.0,0.0,0.0,11.0,5.4,262.4,1.0,15.3
2025-04-21 10:00:00,,,,,,,,hourly,17.7,0.0,0.0,5.0,7.1,229.1,1.0,16.9
2025-04-21 11:00:00,,,,,,,,hourly,19.2,0.0,0.0,47.0,9.8,203.7,1.0,18.1
2025-04-21 12:00:00,,,,,,,,hourly,19.8,10.0,0.0,49.0,12.7,188.1,1.0,18.3
2025-04-21 13:00:00,,,,,,,,hourly,19.0,10.0,0.1,87.0,15.9,193.1,1.0,17.7
2025-04-21 14:00:00,,,,,,,,hourly,18.6,18.0,0.0,85.0,17.0,193.4,1.0,17.2
2025-04-21 15:00:00,,,,,,,,hourly,19.0,20.0,0.1,74.0,17.9,195.2,1.0,17.4
2025-04-21 16:00:00,,,,,,,,hourly,18.8,13.0,0.0,47.0,19.3,194.0,1.0,17.0
2025-04-21 17:00:00,,,,,,,,hourly,17.8,8.0,0.0,73.0,18.4,192.4,1.0,16.1
2025-04-21 18:00:00,,,,,,,,hourly,17.1,13.0,0.0,65.0,16.3,194.0,0.0,15.5
2025-04-21 19:00:00,,,,,,,,hourly,16.5,13.0,0.1,63.0,15.0,201.0,0.0,15.1
2025-04-21 20:00:00,,,,,,,,hourly,16.3,40.0,0.2,77.0,14.0,205.9,0.0,15.1
2025-04-21 21:00:00,,,,,,,,hourly,16.0,38.0,0.1,77.0,14.3,208.5,0.0,14.5
2025-04-21 22:00:00,,,,,,,,hourly,15.9,48.0,0.2,75.0,13.4,207.3,0.0,14.8
2025-04-21 23:00:00,,,,,,,,hourly,15.6,53.0,0.1,74.0,13.5,205.2,0.0,14.2
2025-04-22 00:00:00,,,,,,,,hourly,15.5,48.0,0.1,82.0,13.7,203.2,0.0,14.0
2025-04-22 01:00:00,,,,,,,,hourly,15.3,45.0,0.1,70.0,13.2,197.4,0.0,13.8
2025-04-22 02:00:00,,,,,,,,hourly,15.1,33.0,0.0,71.0,11.4,191.0,0.0,13.7
2025-04-22 03:00:00,,,,,,,,hourly,14.7,35.0,0.0,76.0,10.5,187.9,0.0,13.6
2025-04-22 04:00:00,,,,,,,,hourly,14.2,33.0,0.2,90.0,12.1,190.3,0.0,13.0
2025-04-22 05:00:00,,,,,,,,hourly,14.4,8.0,0.2,88.0,12.5,191.6,0.0,13.0
2025-04-22 06:00:00,,,,,,,,hourly,14.3,0.0,0.0,83.0,9.9,190.5,0.0,12.8
2025-04-22 07:00:00,,,,,,,,hourly,13.9,0.0,0.0,62.0,6.4,196.4,1.0,13.0
2025-04-22 08:00:00,,,,,,,,hourly,14.4,0.0,0.1,80.0,7.0,191.9,1.0,13.7
2025-04-22 09:00:00,,,,,,,,hourly,15.9,0.0,0.0,72.0,9.8,188.4,1.0,14.6
2025-04-22 10:00:00,,,,,,,,hourly,16.4,0.0,0.0,71.0,10.5,187.9,1.0,15.1
2025-04-22 11:00:00,,,,,,,,hourly,17.5,0.0,0.0,71.0,10.9,187.6,1.0,16.1
2025-04-22 12:00:00,,,,,,,,hourly,18.3,0.0,0.0,88.0,12.3,185.0,1.0,16.7
2025-04-22 13:00:00,,,,,,,,hourly,18.4,0.0,0.0,93.0,12.0,188.6,1.0,17.1
2025-04-22 14:00:00,,,,,,,,hourly,18.3,0.0,0.0,93.0,11.5,181.8,1.0,17.1
2025-04-22 15:00:00,,,,,,,,hourly,18.1,0.0,0.0,91.0,10.9,187.6,1.0,17.2
2025-04-22 16:00:00,,,,,,,,hourly,18.1,0.0,0.0,100.0,10.8,176.2,1.0,17.4
2025-04-22 17:00:00,,,,,,,,hourly,18.2,0.0,0.0,89.0,9.7,164.9,1.0,17.6
2025-04-22 18:00:00,,,,,,,,hourly,17.8,0.0,0.0,96.0,8.9,153.4,0.0,17.4
2025-04-22 19:00:00,,,,,,,,hourly,17.3,0.0,0.0,84.0,9.2,154.4,0.0,17.1
2025-04-22 20:00:00,,,,,,,,hourly,16.7,0.0,0.0,49.0,10.3,155.2,0.0,16.5
2025-04-22 21:00:00,,,,,,,,hourly,16.2,0.0,0.0,40.0,11.3,142.8,0.0,15.7
2025-04-22 22:00:00,,,,,,,,hourly,15.7,0.0,0.0,34.0,11.1,144.2,0.0,15.1
2025-04-22 23:00:00,,,,,,,,hourly,15.4,0.0,0.0,38.0,12.1,149.6,0.0,14.6
2025-04-23 00:00:00,,,,,,,,hourly,15.0,0.0,0.0,49.0,12.5,146.8,0.0,14.2
2025-04-23 01:00:00,,,,,,,,hourly,14.7,0.0,0.0,56.0,12.2,145.8,0.0,13.9
2025-04-23 02:00:00,,,,,,,,hourly,14.6,0.0,0.0,64.0,11.4,145.3,0.0,13.9
2025-04-23 03:00:00,,,,,,,,hourly,14.5,0.0,0.0,69.0,11.0,141.6,0.0,13.8
2025-04-23 04:00:00,,,,,,,,hourly,14.3,0.0,0.0,70.0,9.4,139.6,0.0,13.9
2025-04-23 05:00:00,,,,,,,,hourly,14.2,0.0,0.0,83.0,7.9,140.5,0.0,14.0
2025-04-23 06:00:00,,,,,,,,hourly,14.0,0.0,0.0,85.0,5.9,132.5,0.0,14.0
2025-04-23 07:00:00,,,,,,,,hourly,13.6,0.0,0.0,85.0,3.3,130.6,1.0,14.0
2025-04-23 08:00:00,,,,,,,,hourly,14.1,0.0,0.0,80.0,2.1,121.0,1.0,14.8
2025-04-23 09:00:00,,,,,,,,hourly,15.3,0.0,0.0,68.0,2.1,121.0,1.0,15.8
